key,name,description,attached to,layer,type,kind,url
humanities,Humanities,,,0,,group,https://en.wikipedia.org/wiki/Humanities
humanities.visual-arts.culinary-arts.food-choice,Food choice,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Food_choice
humanities.visual-arts.culinary-arts.food-pairing,Food pairing,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Food_pairing
humanities.visual-arts.culinary-arts.food-photography,Food photography,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Food_photography
humanities.visual-arts.culinary-arts.food-preparation,Food preparation,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Outline_of_food_preparation
humanities.visual-arts.culinary-arts.food-presentation,Food presentation,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Food_presentation
humanities.visual-arts.culinary-arts.food-safety,Food safety,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Food_safety
humanities.visual-arts.culinary-arts.food-security,Food security,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Food_security
humanities.visual-arts.culinary-arts.food-studies,Food studies,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Food_studies
humanities.visual-arts.culinary-arts.gastronomy,Gastronomy,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Gastronomy
humanities.visual-arts.culinary-arts.gourmet,Gourmet,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Gourmet
humanities.visual-arts.culinary-arts.palatability,Palatability,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Palatability
humanities.visual-arts.culinary-arts.specialty-foods,Specialty foods,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Specialty_foods
humanities.visual-arts.culinary-arts.traditional-food,Traditional food,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Traditional_food
humanities.visual-arts.culinary-arts.cuisines,cuisines,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Outline_of_cuisines
humanities.visual-arts.decorative-arts,Decorative arts,,Visual arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Decorative_arts
humanities.visual-arts.digital-art,Digital art,,Visual arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Digital_art
humanities.history,History,,Humanities|0,1,S,discipline,https://en.wikipedia.org/wiki/Outline_of_history
humanities.history.prehistory,Prehistory,,History|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Prehistory
humanities.history.ancient-history,Ancient history,,History|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Ancient_history
humanities.history.ancient-history.ancient-egypt,Ancient Egypt,,Ancient history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Ancient_Egypt
humanities.history.ancient-history.carthage,Carthage,,Ancient history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Carthage
humanities.history.ancient-history.ancient-greek-history,Ancient Greek history,,Ancient history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Ancient_Greece
humanities.history.ancient-history.ancient-roman-history,Ancient Roman history,,Ancient history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Ancient_Rome
humanities.history.ancient-history.ancient-roman-history.history-of-the-roman-republic,History of the Roman Republic,,Ancient Roman history|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_the_Constitution_of_the_Roman_Republic
humanities.history.ancient-history.ancient-roman-history.history-of-the-roman-empire,History of the Roman Empire,,Ancient Roman history|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_the_Roman_Empire
humanities.history.ancient-history.ancient-chinese-history,Ancient Chinese history,,Ancient history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Ancient_China
humanities.history.ancient-history.ancient-middle-eastern-history,Ancient Middle Eastern history,,Ancient history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Ancient_Near_East
humanities.history.ancient-history.assyrian-civilization,Assyrian Civilization,,Ancient history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Assyria
humanities.history.ancient-history.bronze-age-civilizations,Bronze Age Civilizations,,Ancient history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Bronze_Age
humanities.history.ancient-history.biblical-history,Biblical history,,Ancient history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Historicity_of_the_Bible
humanities.history.ancient-history.history-of-the-indus-valley-civilization,History of the Indus Valley Civilization,,Ancient history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Indus_Valley_Civilisation
humanities.history.ancient-history.preclassic-maya,Preclassic Maya,,Ancient history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Preclassic_Maya
humanities.history.ancient-history.history-of-mesopotamia,History of Mesopotamia,,Ancient history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Mesopotamia
humanities.history.ancient-history.the-stone-age,The Stone Age,,Ancient history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/The_Stone_Age
humanities.history.ancient-history.history-of-the-yangtze-civilization,History of the Yangtze civilization,,Ancient history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Yangtze_civilization
humanities.history.ancient-history.history-of-the-yellow-river-civilization,History of the Yellow River civilization,,Ancient history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Yellow_River_civilization
humanities.history.modern-history,Modern history,,History|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Modern_history
humanities.history.asian-history,Asian history,,History|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Asia
humanities.history.asian-history.chinese-history,Chinese history,,Asian history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_China
humanities.history.asian-history.japanese-history,Japanese history,,Asian history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Japan
humanities.history.asian-history.korean-history,Korean history,,Asian history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Korea
humanities.history.asian-history.mongolian-history,Mongolian history,,Asian history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Mongolia
humanities.history.asian-history.indian-history,Indian history,,Asian history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_India
humanities.history.asian-history.indonesian-history,Indonesian history,,Asian history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Indonesia
humanities.history.asian-history.turkish-history,Turkish history,,Asian history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Turkey
humanities.history.asian-history.iranian-history,Iranian history,,Asian history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Iran
humanities.history.asian-history.vietnamese-history,Vietnamese history,,Asian history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Vietnam
humanities.history.asian-history.philippine-history,Philippine history,,Asian history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_the_Philippines
humanities.history.australian-history,Australian history,,History|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Australia
humanities.history.european-history,European history,,History|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Europe
humanities.history.european-history.british-history,British history,,European history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_the_United_Kingdom
humanities.history.european-history.french-history,French history,,European history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_France
humanities.history.european-history.german-history,German history,,European history|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/History_of_Germany
