key,name,description,attached to,layer,type,url
social-science.communication.narratology,Narratology,,Communication|0,2,S,https://en.wikipedia.org/wiki/Narratology
social-science.communication.narratology.internet,Internet,,Narratology|0,3,S,https://en.wikipedia.org/wiki/Internet
social-science.communication.communication-studies,Communication studies,,Communication|0,2,S,https://en.wikipedia.org/wiki/Communication_studies
social-science.communication.communication-studies.advertising,Advertising,,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Advertising
social-science.communication.communication-studies.animal-communication,Animal communication,,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Animal_communication
social-science.communication.communication-studies.communication-design,Communication design,,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Communication_design
social-science.communication.communication-studies.conspiracy-theory,Conspiracy theory,,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Conspiracy_theory
social-science.communication.communication-studies.digital-media,Digital media,,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Digital_media
social-science.communication.communication-studies.electronic-media,Electronic media,,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Electronic_media
social-science.communication.communication-studies.environmental-communication,Environmental communication,,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Environmental_communication
social-science.communication.communication-studies.hoax,Hoax,,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Hoax
social-science.communication.communication-studies.intercultural-communication,Intercultural communication,,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Cross-cultural_communication
social-science.communication.communication-studies.mass-communication,Mass communication,,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Mass_communication
social-science.communication.communication-studies.nonverbal-communication,Nonverbal communication,,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Nonverbal_communication
social-science.communication.communication-studies.organizational-communication,Organizational communication,,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Organizational_communication
social-science.communication.communication-studies.popular-culture-studies,Popular culture studies,,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Popular_culture_studies
social-science.communication.communication-studies.propaganda,Propaganda,,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Propaganda
social-science.communication.communication-studies.public-relations,Public relations,,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Public_relations
social-science.communication.communication-studies.speech-communication,Speech communication,,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Speech
social-science.communication.communication-studies.technical-writing,Technical writing,,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Technical_writing
social-science.communication.communication-studies.translation,Translation,,Communication studies|0,3,S,https://en.wikipedia.org/wiki/Translation
social-science.geography,Geography,,,1,S0,https://en.wikipedia.org/wiki/Outline_of_geography
social-science.geography.physical-geography-is-also-listed-in-earth-science,Physical geography (is also listed in Earth Science),,Geography|0,2,S,https://en.wikipedia.org/wiki/Physical_geography
social-science.geography.physical-geography-is-also-listed-in-earth-science.atmology,Atmology,,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Water_vapour#In_Earth's_atmosphere
social-science.geography.physical-geography-is-also-listed-in-earth-science.biogeography,Biogeography,,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Biogeography
social-science.geography.physical-geography-is-also-listed-in-earth-science.climatology,Climatology,,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Climatology
social-science.geography.physical-geography-is-also-listed-in-earth-science.climatology.palaeoclimatology,Palaeoclimatology,,Climatology|0,4,S,https://en.wikipedia.org/wiki/Palaeoclimatology
social-science.geography.physical-geography-is-also-listed-in-earth-science.coastal-geography,Coastal geography,,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Coastal_geography
social-science.geography.physical-geography-is-also-listed-in-earth-science.environmental-geography,Environmental geography,,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Environmental_geography
social-science.geography.physical-geography-is-also-listed-in-earth-science.geographic-information-systems,Geographic information systems,,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Geographic_information_system
social-science.geography.physical-geography-is-also-listed-in-earth-science.geomatics,Geomatics,,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Geomatics
social-science.geography.physical-geography-is-also-listed-in-earth-science.geomorphology,Geomorphology,,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Geomorphology
social-science.geography.physical-geography-is-also-listed-in-earth-science.hydrology-hydrography,Hydrology/Hydrography,,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Hydrology
social-science.geography.physical-geography-is-also-listed-in-earth-science.hydrology-hydrography.biogeochemistry,Biogeochemistry,,Hydrology/Hydrography|0,4,S,https://en.wikipedia.org/wiki/Biogeochemistry
social-science.geography.physical-geography-is-also-listed-in-earth-science.lithology,Lithology,,Physical geography (is also listed in Earth Science)|0,3,S,https://en.wikipedia.org/wiki/Lithology
