playlist_id,language_code,title,description
FL_TamoS5Wzm6gsWjSJ5LZ6A,no,Favoritter,
FL_TamoS5Wzm6gsWjSJ5LZ6A,pl,Ulubione,
FL_TamoS5Wzm6gsWjSJ5LZ6A,pt,Favoritos,
FL_TamoS5Wzm6gsWjSJ5LZ6A,pt-PT,Favoritos,
FL_TamoS5Wzm6gsWjSJ5LZ6A,ro,Preferate,
FL_TamoS5Wzm6gsWjSJ5LZ6A,ru,Избранное,
FL_TamoS5Wzm6gsWjSJ5LZ6A,sk,Obľúbené,
FL_TamoS5Wzm6gsWjSJ5LZ6A,sl,Priljubljene,
FL_TamoS5Wzm6gsWjSJ5LZ6A,sr,Омиљено,
FL_TamoS5Wzm6gsWjSJ5LZ6A,sv,Favoriter,
FL_TamoS5Wzm6gsWjSJ5LZ6A,sw,Vipendwa,
FL_TamoS5Wzm6gsWjSJ5LZ6A,ta,பிடித்தவை,
FL_TamoS5Wzm6gsWjSJ5LZ6A,te,ఇష్టమైనవి,
FL_TamoS5Wzm6gsWjSJ5LZ6A,th,รายการโปรด,
FL_TamoS5Wzm6gsWjSJ5LZ6A,tr,Favoriler,
FL_TamoS5Wzm6gsWjSJ5LZ6A,uk,Вибране,
FL_TamoS5Wzm6gsWjSJ5LZ6A,ur,پسندیدہ,
FL_TamoS5Wzm6gsWjSJ5LZ6A,vi,Video yêu thích,
FL_TamoS5Wzm6gsWjSJ5LZ6A,zh-CN,收藏的视频,
FL_TamoS5Wzm6gsWjSJ5LZ6A,zh-HK,收藏,
FL_TamoS5Wzm6gsWjSJ5LZ6A,zh-TW,收藏的影片,
FL_TamoS5Wzm6gsWjSJ5LZ6A,zu,Izintandokazi,
FLUHW94eEFW7hkUMVaZz4eDg,af,Gunstelinge,
FLUHW94eEFW7hkUMVaZz4eDg,am,ተወዳጆች,
FLUHW94eEFW7hkUMVaZz4eDg,ar,المفضلة,
FLUHW94eEFW7hkUMVaZz4eDg,bg,Любими,
FLUHW94eEFW7hkUMVaZz4eDg,bn,পছন্দগুলি,
FLUHW94eEFW7hkUMVaZz4eDg,ca,Preferits,
FLUHW94eEFW7hkUMVaZz4eDg,cs,Oblíbené,
FLUHW94eEFW7hkUMVaZz4eDg,da,Foretrukne,
FLUHW94eEFW7hkUMVaZz4eDg,de,Favoriten,
FLUHW94eEFW7hkUMVaZz4eDg,el,Αγαπημένα,
FLUHW94eEFW7hkUMVaZz4eDg,en,Favorites,
FLUHW94eEFW7hkUMVaZz4eDg,en-GB,Favourites,
FLUHW94eEFW7hkUMVaZz4eDg,en-XA,[Fåvöŕîţéš one],
FLUHW94eEFW7hkUMVaZz4eDg,es,Favoritos,
FLUHW94eEFW7hkUMVaZz4eDg,es-419,Favoritos,
FLUHW94eEFW7hkUMVaZz4eDg,et,Lemmikud,
FLUHW94eEFW7hkUMVaZz4eDg,eu,Gogokoak,
FLUHW94eEFW7hkUMVaZz4eDg,fa,موارد دلخواه,
FLUHW94eEFW7hkUMVaZz4eDg,fi,Suosikit,
FLUHW94eEFW7hkUMVaZz4eDg,fil,Mga Paborito,
FLUHW94eEFW7hkUMVaZz4eDg,fr,Favoris,
FLUHW94eEFW7hkUMVaZz4eDg,fr-CA,Favoris,
FLUHW94eEFW7hkUMVaZz4eDg,gl,Favoritos,
FLUHW94eEFW7hkUMVaZz4eDg,gu,મનપસંદ,
FLUHW94eEFW7hkUMVaZz4eDg,hi,पसंदीदा,
FLUHW94eEFW7hkUMVaZz4eDg,hr,Favoriti,
FLUHW94eEFW7hkUMVaZz4eDg,hu,Kedvencek,
FLUHW94eEFW7hkUMVaZz4eDg,id,Favorit,
FLUHW94eEFW7hkUMVaZz4eDg,is,Eftirlæti,
FLUHW94eEFW7hkUMVaZz4eDg,it,Preferiti,
FLUHW94eEFW7hkUMVaZz4eDg,iw,מועדפים,
FLUHW94eEFW7hkUMVaZz4eDg,ja,お気に入り,
FLUHW94eEFW7hkUMVaZz4eDg,kn,ಮೆಚ್ಚಿನವುಗಳು,
FLUHW94eEFW7hkUMVaZz4eDg,ko,즐겨찾기,
FLUHW94eEFW7hkUMVaZz4eDg,lt,Mėgstamiausi,
FLUHW94eEFW7hkUMVaZz4eDg,lv,Izlase,
FLUHW94eEFW7hkUMVaZz4eDg,ml,പ്രിയപ്പെട്ടവ,
FLUHW94eEFW7hkUMVaZz4eDg,mr,आवडी,
FLUHW94eEFW7hkUMVaZz4eDg,ms,Kegemaran,
FLUHW94eEFW7hkUMVaZz4eDg,nl,Favorieten,
FLUHW94eEFW7hkUMVaZz4eDg,no,Favoritter,
FLUHW94eEFW7hkUMVaZz4eDg,pl,Ulubione,
FLUHW94eEFW7hkUMVaZz4eDg,pt,Favoritos,
FLUHW94eEFW7hkUMVaZz4eDg,pt-PT,Favoritos,
FLUHW94eEFW7hkUMVaZz4eDg,ro,Preferate,
FLUHW94eEFW7hkUMVaZz4eDg,ru,Избранное,
FLUHW94eEFW7hkUMVaZz4eDg,sk,Obľúbené,
FLUHW94eEFW7hkUMVaZz4eDg,sl,Priljubljene,
